Rk	team	PAKE	PASE	Wins	Loss	W%	R64	R32	S16	E8	F4	F2	Champ	Top2	F4%	Champ%
213	Colorado St.	-1.0	-1.7	2	6	0.250	6	2	0	0	0	0	0	0	5.1%	0.4%
214	Oklahoma	-1.0	-2.8	21	16	0.568	16	10	5	4	2	0	0	4	78.8%	22.3%
215	Winthrop	-1.0	-1.1	1	8	0.111	8	1	0	0	0	0	0	0	2.1%	0.1%
216	Charlotte	-1.0	-1.7	1	4	0.200	4	1	0	0	0	0	0	0	2.9%	0.2%
217	Louisiana	-1.2	-1.0	0	5	0.000	5	0	0	0	0	0	0	0	1.3%	0.0%
218	Akron	-1.2	-1.5	0	6	0.000	6	0	0	0	0	0	0	0	0.5%	0.0%
219	Boise St.	-1.2	-1.5	0	3	0.000	3	0	0	0	0	0	0	0	2.0%	0.2%
220	UC Santa Barbara	-1.2	-1.0	0	5	0.000	5	0	0	0	0	0	0	0	0.5%	0.0%
221	Seton Hall	-1.2	-1.6	4	8	0.333	8	3	1	0	0	0	0	0	12.5%	1.4%
222	Wofford	-1.3	-1.0	1	6	0.143	6	1	0	0	0	0	0	0	3.6%	0.2%
223	Vermont	-1.3	-0.5	1	10	0.091	10	1	0	0	0	0	0	0	2.1%	0.0%
224	Old Dominion	-1.3	-1.4	1	5	0.167	5	1	0	0	0	0	0	0	5.4%	0.4%
225	George Washington	-1.3	-1.5	1	4	0.200	4	1	0	0	0	0	0	0	4.6%	0.3%
Rk	team	PAKE	PASE	Wins	Loss	W%	R64	R32	S16	E8	F4	F2	Champ	Top2	F4%	Champ%
226	Nebraska	-1.3	-1.4	0	2	0.000	2	0	0	0	0	0	0	0	3.2%	0.3%
227	Utah	-1.5	-0.6	7	8	0.467	8	4	2	0	0	0	0	0	28.3%	4.3%
228	UNLV	-1.5	-2.8	3	7	0.300	7	2	1	0	0	0	0	0	10.2%	1.0%
229	Valparaiso	-1.5	-0.8	0	5	0.000	5	0	0	0	0	0	0	0	1.6%	0.1%
230	TCU	-1.6	-1.3	2	4	0.333	4	2	0	0	0	0	0	0	8.8%	0.8%
231	Iona	-1.6	-1.5	0	10	0.000	10	0	0	0	0	0	0	0	1.2%	0.0%
232	UTEP	-1.6	-1.4	0	3	0.000	3	0	0	0	0	0	0	0	4.1%	0.3%
233	Colorado	-1.6	-2.0	3	7	0.300	7	3	0	0	0	0	0	0	17.6%	2.1%
234	Davidson	-1.7	-0.3	3	9	0.250	9	1	1	1	0	0	0	0	12.0%	2.3%
235	UNC Wilmington	-1.7	-1.5	1	7	0.125	7	1	0	0	0	0	0	0	6.2%	0.4%
236	South Dakota St.	-1.7	-1.8	0	7	0.000	7	0	0	0	0	0	0	0	2.1%	0.0%
237	Tennessee	-1.7	-0.4	24	16	0.600	16	12	9	3	0	0	0	5	83.6%	28.6%
238	Saint Joseph's	-1.7	-1.8	5	6	0.455	6	3	1	1	0	0	0	1	38.1%	10.0%
239	Arizona St.	-1.7	-1.6	2	5	0.286	5	2	0	0	0	0	0	0	10.7%	1.7%
240	St. Bonaventure	-1.9	-1.9	0	4	0.000	4	0	0	0	0	0	0	0	3.3%	0.2%
241	Vanderbilt	-2.0	-3.7	5	8	0.385	8	3	2	0	0	0	0	0	18.6%	2.4%
242	Creighton	-2.0	-1.4	13	16	0.448	16	9	3	1	0	0	0	0	44.8%	7.5%
243	Missouri	-2.1	-2.1	10	13	0.435	13	6	2	2	0	0	0	1	43.2%	8.6%
244	Minnesota	-2.1	-2.4	2	6	0.250	6	2	0	0	0	0	0	0	9.8%	1.0%
245	New Mexico St.	-2.2	-2.3	1	10	0.091	10	1	0	0	0	0	0	0	2.6%	0.0%
246	Drake	-2.2	-2.6	1	5	0.167	5	1	0	0	0	0	0	0	10.2%	1.0%
247	Penn	-2.3	-2.1	0	7	0.000	7	0	0	0	0	0	0	0	2.8%	0.1%
248	Virginia Tech	-2.4	-2.3	3	6	0.333	6	2	1	0	0	0	0	0	20.8%	2.7%
249	Temple	-2.5	-2.5	6	9	0.400	9	4	1	1	0	0	0	1	43.6%	10.4%
250	SMU	-2.6	-2.1	0	2	0.000	2	0	0	0	0	0	0	0	13.6%	2.5%
Rk	team	PAKE	PASE	Wins	Loss	W%	R64	R32	S16	E8	F4	F2	Champ	Top2	F4%	Champ%
251	California	-2.6	-3.0	4	8	0.333	8	4	0	0	0	0	0	0	15.9%	1.6%
252	Belmont	-2.6	-2.1	0	8	0.000	8	0	0	0	0	0	0	0	6.4%	0.5%
253	Marquette	-2.8	-4.0	16	16	0.500	16	8	5	2	1	0	0	2	61.8%	12.6%
